,Unnamed: 0,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval,Epoch_Time_of_Clock
18,1110,0.0002917094,-9.54969436862e-12,0,23.6519448273,36.3536102846,5.81158188795e-09,-1.8993747923,2.17067884273e-06,0.0172151377,5.108e-06,5153.60276332,325766.899075,-9.294070336809999e-07,0.9524800277,7.67790538785e-07,0.9477448518,282.345850295,-1.943188715,-9.77520683609e-09,-2.8431661735e-11,1,1973.0,0,2.1480206222599996e-34,0,-2.04890966415e-08,23.6519448273,329681.435104,0,2017-11-02 00:00:00
19,1170,0.0002916751,-9.54969436862e-12,0,21.0802797536,34.6311912212,5.7014005159999994e-09,-1.3890541719,1.993e-06,0.0172152197,4.94188163079e-06,5153.60349116,329369.293538,-8.07261405093e-07,0.9524479262,5.70939219118e-07,0.9477466609,284.079285802,-1.943176998,-9.57752760144e-09,3.74157969433e-11,1,1973.0,0,1.7789991648799997e-34,0,-2.04890966415e-08,21.0802797536,332511.522275,0,2017-11-02 01:00:00
20,1230,0.0002916408,-9.54969436862e-12,0,19.2103143492,32.617279215,5.5735619247e-09,-0.6203812313,1.78620121187e-06,0.0172153131,4.73421044261e-06,5153.60420781,332973.564385,-6.46337186001e-07,0.9524157577,3.50434377785e-07,0.9477486735,286.244425213,-1.9431629929,-9.34083602756e-09,1.0932434063500001e-10,1,1973.0,0,1.2250591475999998e-34,0,-2.04890966415e-08,19.2103143492,334701.171131,0,2017-11-02 02:00:00
21,1290,0.0002916064,-9.54969436862e-12,0,18.1695671867,30.3462230944,5.42876376287e-09,0.4423002103,1.55187608717e-06,0.0172154175,4.48533644926e-06,5153.60488581,336579.945273,-4.44615883192e-07,0.9523835328,1.08188764819e-07,0.9477508879,288.817689488,-1.9431458998,-9.06539628995e-09,1.86327712383e-10,1,1973.0,0,4.645197375689999e-35,0,-2.04890966415e-08,18.1695671867,336168.63421,0,2017-11-02 03:00:00
22,1350,0.00029157200000000003,-9.54969436862e-12,0,18.0694260616,27.902367914499997,5.26888992774e-09,1.796025533,1.2966139278200001e-06,0.0172155271,4.198e-06,5153.60550435,340188.56576,-2.02261226389e-07,0.9523512809,-1.51e-07,0.9477532912,291.750981479,-1.94312502,-8.75378145918e-09,2.6668198988900004e-10,1,1973.0,0,-4.85503310636e-35,0,-2.04890966415e-08,18.0694260616,336867.550588,0,2017-11-02 04:00:00
23,1410,0.0002915375,-9.54969436862e-12,0,18.6502709013,26.519971949499997,5.12310803024e-09,2.5495516876,1.1394683558e-06,0.0172155123,3.93020685238e-06,5153.6061963,343797.161143,3.03719271795e-08,0.9523194609,-3.55781359575e-07,0.9477556189,294.432287517,-1.9431019736,-8.46166919199e-09,3.30756947946e-10,1,1973.0,0,-7.15572731197e-35,0,-2.04890966415e-08,18.6502709013,337565.449777,0,2017-11-02 05:00:00
24,1470,0.000291503,-9.54969436862e-12,0,19.2985375984,28.4475487507,5e-09,1.0306956148,1.2987176611299998e-06,0.0172151374,3.7898422681900002e-06,5153.60722544,347401.264056,1.574262548e-07,0.9522889177,-3.75455603384e-07,0.9477573791,295.758236959,-1.943080683,-8.29315507158e-09,3.43346014859e-10,1,1973.0,0,1.3609458725e-34,0,-2.04890966415e-08,19.2985375984,339778.826348,0,2017-11-02 06:00:00
25,1530,0.0002914686,-9.54969436862e-12,0,19.7769994376,32.8634754361,5e-09,-2.002562916,1.69241642513e-06,0.0172145827,3.7615734235099998e-06,5153.60833826,351000.709839,1.88701437351e-07,0.9522595062,-2.40376318321e-07,0.9477586479,296.269810698,-1.943064781,-8.246850401899999e-09,3.21593951017e-10,1,1973.0,0,2.4216227345399998e-34,0,-2.04890966415e-08,19.7769994376,343566.277787,0,2017-11-02 07:00:00
26,1590,0.0002914341,-9.54969436862e-12,0,20.2364235447,35.9763823953,5e-09,-3.4364988744,1.94807328735e-06,0.0172144256,3.7119351213199995e-06,5153.60877765,354599.628014,2.36530995229e-07,0.9522301042,-1.3744895131500002e-07,0.9477600485,298.04224256099997,-1.9430569668,-8.21863900565e-09,3.325161166359999e-10,1,1973.0,0,-4.95828017935e-34,0,-2.04890966415e-08,20.2364235447,347531.26902,0,2017-11-02 08:00:00
27,1650,0.0002913997,-9.54969436862e-12,0,20.7417313484,37.3181184935,5.06593175532e-09,-2.6499312987,2.015e-06,0.0172146975,3.6734099873599998e-06,5153.60823044,358199.749502,2.9591320955900003e-07,0.952200265,-8.97962582356e-08,0.9477614868,300.127141568,-1.9430474366,-8.216228986280001e-09,3.7049468350300003e-10,1,1973.0,0,-8.97091820695e-34,0,-2.04890966415e-08,20.7417313484,351089.814074,0,2017-11-02 09:00:00
